"userdetail_id","cont_id","customer_id","forename","surname","gender","birth_date","balance","email","mobilenumber","homenumber","address1","address2","cityname","postcode","county","matches","nis"
"1","89822615533","816456582354484618","Mrs. Jaclyn Purdy IV","Purdy","female","1981-02-27 07:06:41","7756.36","oschulist@yahoo.com","871931495","633548963","Apt. 841","Frida Prairie","South Arvidtown","AB97 9BB","Maine","","DD7838876"
"2","97769469562","452532212443979896","Waino Beer","Corkery","male","1992-08-16 18:13:57","296.44","aubree92@wiegand.com","541184734","872771589","Suite 632","Watsica Dale","West Felipe","BB37 51AA","Alaska","","DD3841940"
"3","71167673937","215659241964643484","Yoshiko Gerlach V","Hettinger","female","1976-07-06 21:42:39","8015.22","ernser.joana@mueller.com","376195637","869258775","Suite 594","Gisselle Valleys","Kozeyfort","AB5 7BA","Rhode Island","","CC2461082"
"4","91441196894","346684994814988662","Germaine Predovic","Wuckert","female","1971-09-22 23:29:15","7762.45","zbahringer@steuber.info","659268478","962693331","Apt. 530","Dorian Hollow","Jeanneland","CC94 58CA","Delaware","","CD8470482"
"5","73272199165","283591867738465114","Allie Rosenbaum","Grady","female","1973-11-19 10:17:34","5076.84","sven85@hotmail.com","612675551","223491859","Apt. 143","Jones Springs","Carlomouth","BB52 2DA","Oregon","","DB2410794"
"6","72611221884","562874977114186358","Maverick Kris","Feil","male","1988-12-15 22:12:02","9227.51","ghegmann@gmail.com","878278185","762558375","Suite 462","Curt Prairie","West Camronchester","CA0 4CA","Illinois","","CC6020255"
"7","19856875858","297743946558931958","Johnson Thompson","Grimes","male","1993-11-23 01:03:06","4898.8","hdare@hotmail.com","134817966","852998546","Apt. 897","Stokes Unions","East Shawnaville","DC97 2AD","Kansas","","CD5699425"
"8","49658635768","827562291449739482","Itzel Turner","Abshire","female","1998-09-06 08:43:29","241.93","nmann@windler.com","955224195","696427424","Suite 436","Justen Parks","D'Amoreville","AB08 87CC","Kentucky","","CA0566624"
"9","49987659769","587833677987147617","Ms. Tiffany Macejkovic III","Green","female","1983-02-17 07:26:23","4541","dhirthe@hotmail.com","663451366","447182541","Suite 191","Dock Shores","West Crystelberg","DA9 63DD","Delaware","","BB2182409"
"10","57589852935","874911487671925469","Lou Kautzer","Russel","female","1999-01-16 14:56:10","2191.09","oda.schmitt@yahoo.com","274888992","442131956","Suite 941","Conroy Isle","Hickleland","BA26 96CA","Rhode Island","","BD1263560"
"11","65228681196","999228157997733351","Dr. Madonna Crist PhD","Reichel","female","1981-10-20 11:09:59","9524.46","monahan.arden@corwin.org","151963943","293245663","Apt. 004","Murray Gateway","Lake Sophia","CB53 5DC","Minnesota","","DA0966710"
"12","72193878723","936552218492233787","Mrs. Mckayla Legros DVM","Dickens","female","1990-10-03 21:37:14","2385.37","eugenia26@rogahn.biz","591895446","274332267","Suite 103","Ismael Ford","Gaylordberg","BB87 87DA","California","","CC3921797"
"13","51858918854","476187753274126361","Savanna Zboncak","Durgan","female","1978-09-13 06:52:06","7011.02","delaney.witting@kerluke.com","178418727","649593695","Suite 066","Crona Bridge","Lake Wilburnville","AD57 4CD","Michigan","","BD0680868"
"14","44158354417","348277338244653853","Kaylee Olson","Braun","female","1995-03-16 21:39:54","8211.14","coralie.price@hermiston.com","152259124","132776974","Suite 742","Larson Garden","Lake Anthonyhaven","CC4 11BB","Louisiana","","BC9434915"
"15","59674783737","667331818377963828","Earnest Leffler","Cremin","male","1974-11-06 00:37:43","4386.92","vkirlin@sporer.com","758786825","375499343","Suite 347","Milo Mountains","North Reva","CC2 72CC","Nebraska","","CA4323925"
"16","17397819932","715469279719119465","Manuel Gutkowski MD","O'Keefe","male","1997-02-01 00:53:04","4918.04","aaltenwerth@hotmail.com","156756997","644291415","Apt. 662","Madison Shore","New Ashlynn","DC10 0AB","Arkansas","","BA7668233"
"17","75916858197","515132921256158736","Corene Pouros I","Keebler","female","1990-03-10 18:19:14","2854.24","haag.andres@medhurst.com","761419419","436869244","Apt. 021","Gleason Fall","East Emmanuelleton","DB0 25DB","Oklahoma","","DD9688916"
"18","11851295419","642626928551886635","Alexie Bode II","Berge","male","1999-06-19 10:54:24","6099.48","brent.mosciski@simonis.com","971524176","954229585","Apt. 612","Alysa Field","Hauckmouth","BB33 10AB","Idaho","","CB0771306"
"19","21111999931","111824183371584757","Jeanne Blick","Runolfsson","female","1986-10-25 07:21:33","5965.08","orland.balistreri@yahoo.com","725696127","853841183","Suite 739","Nico Circle","Gulgowskichester","BA0 08AD","Michigan","","BB3849208"
"20","73794444766","533617595532558488","Mr. Lionel Lang","Nicolas","male","1973-02-24 23:45:10","6304.81","kreiger.urban@cole.org","894538857","519225896","Apt. 705","Gibson Unions","North Mauriciohaven","CA9 80DD","Nebraska","","BD4479902"
